model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolo8,203,15,146,75,1447690.0,8244864.0,4144704.0,0.0,8244864.0,4144704.0,,97991.18,512,1024,128,256.0,101.5,post_placement,43,161,287.08 Megabytes/sec,287.08 Megabytes/sec,956.95 Kilobytes/sec,956.95 Kilobytes/sec,0.12,73,256,73,160,4,28,1362688,45056,512,1,1,64,False,False,False,False,False,0,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.004510077956334988,0.02274667287280477,,,,0.396484375,0.5979114763320039,0.27874909739874715,0.9919824445799722,0.7615074671331644,0.916256157635468,0.14825117351097278,0.05385687162703307,,no runtime data,no runtime data,N/A,0.08374192224843574,0.42235414322482184,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,3072.0,10.0,0.0,0.0,0.0,0.0
context_0,0.004510077956334989,0.022746672872804772,,0.5703125,0.1572265625,0.396484375,0.5979114763320039,0.27874909739874715,0.9919824445799722,0.7615074671331644,0.916256157635468,0.14825117351097278,0.05385687162703308,,97991.18079372856,1.0205e-05,0.0001116575,0.08374192224843574,0.42235414322482184,,single context,,,,,3072.0,10.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,is_4bit_enhanced,is_smuffer_in,is_smuffer_out,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util
conv1,conv,32,32,16,3,3,3,2,2,input_layer1,conv2,448.0,114688.0,,104031.21,3845,864.0,2,1,1,8,1,3,1,1,1,1,False,,False,,301.0289001464844,401.37188720703125,yolo8/conv1,0,0,1,0.009765000000000001,0,8,0.2413524091243744,0.13315995037555695,0.2273395426465506,3,256,context_0,False,False,False,False,1.0055e-05,448.0,221184.0,0,8,0.0,1.0,-23.542455673217773,90.34046936035156,-0.28745323419570923,36.36283493041992,8,8,16,0.2413524091243744,1.0,1.0,0.9419402253797158,1.0,0.2273395426465506
conv2,conv,16,16,32,16,3,3,2,2,conv1,conv_feature_splitter1_1 conv_feature_splitter1_2,4640.0,296960.0,,119581.46,3345,1152.0,4,1,1,8,1,2,1,1,1,1,False,,False,,401.37188720703125,200.68594360351562,yolo8/conv2,0,0,1,0.00954,0,8,0.3835575580596924,0.07653214037418365,0.31430672016405464,2,256,context_0,False,False,False,False,1.06175e-05,4640.0,589824.0,512,8,-0.28745323419570923,36.36283493041992,-4.811932563781738,3.8880081176757812,-0.417311429977417,105.99710083007812,8,8,16,0.3835575580596924,1.0,1.0,0.8194512493875551,1.0,0.31430672016405464
conv_feature_splitter1_1,conv,8,8,16,32,1,1,1,1,conv2,concat1,528.0,33792.0,,464576.07,861,512.0,1,1,1,16,2,1,1,1,1,1,False,,False,,200.68594360351562,100.34297180175781,yolo8/conv_feature_splitter1_1,0,0,1,0.00864,0,16,0.6318234801292419,0.14866434037685394,0.1332680098949724,255,128,context_0,False,False,False,False,1.08775e-05,528.0,65536.0,0,8,-0.417311429977417,105.99710083007812,-1.115857481956482,0.7544076442718506,-0.4658018946647644,58.9239387512207,8,8,16,0.6318234801292419,1.0,1.0,0.21092601665850075,1.0,0.1332680098949724
conv_feature_splitter1_2,conv,8,8,16,32,1,1,1,1,conv2,conv4 ew_add1 concat1,528.0,33792.0,,464576.07,861,512.0,1,1,1,16,2,3,1,1,1,1,False,,False,,200.68594360351562,100.34297180175781,yolo8/conv_feature_splitter1_2,0,0,1,0.00864,0,16,0.6318234801292419,0.14866434037685394,0.1332680098949724,765,128,context_0,False,False,False,False,1.08775e-05,528.0,65536.0,0,8,-0.417311429977417,105.99710083007812,-1.6796375513076782,0.6313967704772949,-0.3202332556247711,40.50950622558594,8,8,16,0.6318234801292419,1.0,1.0,0.21092601665850075,1.0,0.1332680098949724
conv4,conv,8,8,16,16,3,3,1,1,conv_feature_splitter1_2,conv5,2320.0,148480.0,,113927.66,3511,2304.0,1,1,1,16,2,1,1,1,1,1,False,,False,,100.34297180175781,100.34297180175781,yolo8/conv4,0,0,1,0.01012,0,16,0.8333808183670044,0.03645684942603111,0.7168055005601549,255,128,context_0,False,False,False,True,1.26175e-05,2320.0,294912.0,512,8,-0.3202332556247711,40.50950622558594,-0.9489031434059143,0.9981337785720825,-0.29952049255371094,18.794910430908203,8,8,16,0.8333808183670044,1.0,1.0,0.8601175894169525,1.0,0.7168055005601549
conv5,conv,8,8,16,16,3,3,1,1,conv4,ew_add1,2320.0,148480.0,,111265.65,3595,2304.0,1,1,1,16,2,1,1,1,1,1,False,,False,,100.34297180175781,100.34297180175781,yolo8/conv5,0,0,1,0.0098625,0,16,0.8139082193374634,0.03560500591993332,0.716805499392009,1,128,context_0,False,False,True,False,1.44625e-05,2320.0,294912.0,512,8,-0.29952049255371094,18.794910430908203,-1.1424931287765503,1.0281282663345337,-0.3636990189552307,46.00792694091797,8,8,16,0.8139082193374634,1.0,1.0,0.8806957373836355,1.0,0.716805499392009
ew_add1,ew_add,8,8,16,16,,,,,conv_feature_splitter1_2 conv5,concat1,0,512.0,,488400.49,819,,1,1,1,16,0,1,1,,,,False,,False,,100.34297180175781,0.0,yolo8/ew_add1,0,0,1,0.008,0,16,0.46886447072029114,0.15628816187381744,0.09407153393432593,255,128,context_0,False,False,False,False,1.471e-05,0,1024.0,0,8,-0.3202332556247711,40.50950622558594,N/A,N/A,-0.6820645332336426,86.28116607666016,8,8,16,0.46886447072029114,1.0,1.0,0.20063694267515925,1.0,0.09407153393432593
concat1,concat,8|8|8,8|8|8,48,16|16|16,,,,,conv_feature_splitter1_1 conv_feature_splitter1_2 ew_add1,conv6,0,0,,686106.35,583,,1,1,1,48,0,1,1,,,,False,,False,,100.34297180175781,0.0,yolo8/concat1,0,0,1,0.00791,0,48,0.6586620807647705,0.6586620807647705,0.09407153186816786,85,384,context_0,False,False,False,True,1.48675e-05,0,0,0,8,-0.4658018946647644,58.9239387512207,N/A,N/A,-0.6820645332336426,86.28116607666016,8,N/A,N/A,0.6586620807647705,1.0,1.0,0.14282214600685939,0.0,0.09407153186816786
conv6,conv,8,8,32,48,1,1,1,1,concat1,conv7,1568.0,100352.0,,194836.82,2053,1536.0,1,1,1,32,4,1,1,1,1,1,False,,False,,301.0289001464844,200.68594360351562,yolo8/conv6,0,0,1,0.008385,0,32,0.77934730052948,0.12469556927680969,0.39196472513155867,128,256,context_0,False,False,True,False,1.55e-05,1568.0,196608.0,0,8,-0.6820645332336426,86.28116607666016,-1.016507625579834,2.0458779335021973,-0.4721205234527588,59.72324752807617,8,8,16,0.77934730052948,1.0,1.0,0.5029397354238119,1.0,0.39196472513155867
conv7,conv,8,8,64,32,3,3,2,2,conv6,conv_feature_splitter2_1 conv_feature_splitter2_2,18496.0,295936.0,,99009.90,4040,1152.0,4,1,1,16,2,2,1,1,1,1,False,,False,,200.68594360351562,100.34297180175781,yolo8/conv7,0,0,1,0.009625,0,16,0.6725247502326965,0.06336633861064911,0.6656050933219241,2,512,context_0,False,False,False,False,1.73725e-05,18496.0,589824.0,1024,8,-0.4721205234527588,59.72324752807617,-0.3195127248764038,0.24983437359333038,-0.3177570700645447,19.93925666809082,8,8,16,0.6725247502326965,1.0,1.0,0.9897109260166586,1.0,0.6656050933219241
conv_feature_splitter2_1,conv,4,4,32,64,1,1,1,1,conv7,concat2,2080.0,33280.0,,306513.41,1305,512.0,1,1,1,32,4,1,1,1,1,1,False,,False,,100.34297180175781,50.171485900878906,yolo8/conv_feature_splitter2_1,0,0,1,0.007835,0,32,0.8091953992843628,0.09808429330587387,0.25869671633172303,128,256,context_0,False,False,False,False,1.81725e-05,2080.0,65536.0,0,8,-0.3177570700645447,19.93925666809082,-3.3618485927581787,3.3642847537994385,-0.5673665404319763,28.368328094482422,8,8,16,0.8091953992843628,0.5,1.0,0.31969622733953945,1.0,0.12934835816586152
conv_feature_splitter2_2,conv,4,4,32,64,1,1,1,1,conv7,conv9 ew_add2 concat2,2080.0,33280.0,,306513.41,1305,512.0,1,1,1,32,4,3,1,1,1,1,False,,False,,100.34297180175781,50.171485900878906,yolo8/conv_feature_splitter2_2,0,0,1,0.007835,0,32,0.8091953992843628,0.09808429330587387,0.25869671633172303,384,256,context_0,False,False,False,False,1.81725e-05,2080.0,65536.0,0,8,-0.3177570700645447,19.93925666809082,-2.4837419986724854,1.0771503448486328,-0.3271506726741791,16.357534408569336,8,8,16,0.8091953992843628,0.5,1.0,0.31969622733953945,1.0,0.12934835816586152
conv9,conv,4,4,32,32,3,3,1,1,conv_feature_splitter2_2,conv10,9248.0,147968.0,,142500.89,2807,576.0,4,1,1,8,1,1,1,1,1,1,False,,False,,50.171485900878906,50.171485900878906,yolo8/conv9,0,0,1,0.0092525,0,8,0.6213038563728333,0.0456002838909626,0.42724152984775676,128,256,context_0,False,False,False,True,2.039e-05,9248.0,294912.0,1024,8,-0.3271506726741791,16.357534408569336,-0.7127923369407654,0.9390836954116821,-0.28055107593536377,17.60457992553711,8,8,16,0.6213038563728333,0.5,1.0,0.6876531112199903,1.0,0.21362076492387838
conv10,conv,4,4,32,32,3,3,1,1,conv9,ew_add2,9248.0,147968.0,,140301.65,2851,576.0,4,1,1,8,1,1,1,1,1,1,False,,False,,50.171485900878906,50.171485900878906,yolo8/conv10,0,0,1,0.008262499999999999,0,8,0.6117151975631714,0.044896528124809265,0.42724155518192103,128,256,context_0,False,False,True,False,2.317e-05,9248.0,294912.0,1024,8,-0.28055107593536377,17.60457992553711,-0.7695689797401428,0.5411452651023865,-0.27975937724113464,17.554901123046875,8,8,16,0.6117151975631714,0.5,1.0,0.6984321411073003,1.0,0.21362077759096051
ew_add2,ew_add,4,4,32,32,,,,,conv_feature_splitter2_2 conv10,conv11 ew_add3 concat2,0,256.0,,529801.32,755,,1,1,1,32,0,3,1,,,,False,,False,,50.171485900878906,0.0,yolo8/ew_add2,0,0,1,0.00494,0,32,0.5086092948913574,0.16953642666339874,0.09407153788411925,384,256,context_0,False,False,False,False,2.36275e-05,0,512.0,0,8,-0.3271506726741791,16.357534408569336,N/A,N/A,-0.6446330547332764,32.231651306152344,8,8,16,0.5086092948913574,0.5,1.0,0.18495835374816263,1.0,0.04703576894205962
conv11,conv,4,4,32,32,3,3,1,1,ew_add2,conv12,9248.0,147968.0,,142500.89,2807,576.0,4,1,1,8,1,1,1,1,1,1,False,,False,,50.171485900878906,50.171485900878906,yolo8/conv11,0,0,1,0.0071849999999999995,0,8,0.6213038563728333,0.0456002838909626,0.42724152984775676,128,256,context_0,False,False,False,True,2.633e-05,9248.0,294912.0,1024,8,-0.6446330547332764,32.231651306152344,-0.3188651204109192,0.2827245891094208,-0.29402512311935425,5.061432361602783,8,8,16,0.6213038563728333,0.5,1.0,0.6876531112199903,1.0,0.21362076492387838
conv12,conv,4,4,32,32,3,3,1,1,conv11,ew_add3,9248.0,147968.0,,140301.65,2851,576.0,4,1,1,8,1,1,1,1,1,1,False,,False,,50.171485900878906,50.171485900878906,yolo8/conv12,0,0,1,0.006365,0,8,0.6117151975631714,0.044896528124809265,0.42724155518192103,128,256,context_0,False,False,True,False,2.9135e-05,9248.0,294912.0,1024,8,-0.29402512311935425,5.061432361602783,-6.9912872314453125,13.54944896697998,-0.3456295132637024,43.72213363647461,8,8,16,0.6117151975631714,0.5,1.0,0.6984321411073003,1.0,0.21362077759096051
ew_add3,ew_add,4,4,32,32,,,,,ew_add2 conv12,concat2,0,256.0,,529801.32,755,,1,1,1,32,0,1,1,,,,False,,False,,50.171485900878906,0.0,yolo8/ew_add3,0,0,1,0.004065,0,32,0.5086092948913574,0.16953642666339874,0.09407153788411925,128,256,context_0,False,False,False,False,2.95925e-05,0,512.0,0,8,-0.6446330547332764,32.231651306152344,N/A,N/A,-1.0605556964874268,53.02778625488281,8,8,16,0.5086092948913574,0.5,1.0,0.18495835374816263,1.0,0.04703576894205962
